model,type,epsilon,attack,accuracy,f1,roc_auc,clean_acc,adv_acc,qubits,depth,shots,backend,seed,encoding,wall_clock_s
MLP,classical,0.0,fgsm,0.834,0.8360763660302831,0.9406646469818513,0.834,0.834,,,,cpu,0,-,50.6
MLP,classical,0.02,fgsm,0.558,0.6591259640102828,0.6795314900153611,0.834,0.558,,,,cpu,0,-,50.6
MLP,classical,0.05,fgsm,0.44266666666666665,0.5739041794087666,0.6232434431359163,0.834,0.44266666666666665,,,,cpu,0,-,50.6
MLP,classical,0.1,fgsm,0.5173333333333333,0.6017601760176018,0.49129277607100186,0.834,0.5173333333333333,,,,cpu,0,-,50.6
MLP,classical,0.15,fgsm,0.5486666666666666,0.6177300959909655,0.4556931643625192,0.834,0.5486666666666666,,,,cpu,0,-,50.6
MLP,classical,0.2,fgsm,0.5666666666666667,0.6277205040091638,0.45056305825795073,0.834,0.5666666666666667,,,,cpu,0,-,50.6
SVM-RBF,classical,0.0,fgsm,0.8693333333333333,0.8673883626522327,0.9101275814985492,0.8693333333333333,0.8693333333333333,,,,cpu,0,-,50.8
SVM-RBF,classical,0.02,fgsm,0.18933333333333333,0.2962962962962963,0.07966198725607329,0.8693333333333333,0.18933333333333333,,,,cpu,0,-,50.8
SVM-RBF,classical,0.05,fgsm,0.025333333333333333,0.031788079470198675,0.006508861011549195,0.8693333333333333,0.025333333333333333,,,,cpu,0,-,50.8
SVM-RBF,classical,0.1,fgsm,0.0026666666666666666,0.0,8.356090345337631e-05,0.8693333333333333,0.0026666666666666666,,,,cpu,0,-,50.8
SVM-RBF,classical,0.15,fgsm,0.002,0.0,0.0,0.8693333333333333,0.002,,,,cpu,0,-,50.8
SVM-RBF,classical,0.2,fgsm,0.0,0.0,0.0,0.8693333333333333,0.0,,,,cpu,0,-,50.8
MLP,classical,0.0,pgd,0.834,0.8360763660302831,0.9406646469818513,0.834,0.834,,,,cpu,0,-,51.0
MLP,classical,0.02,pgd,0.29533333333333334,0.42772062804547917,0.4968015730784548,0.834,0.29533333333333334,,,,cpu,0,-,51.0
MLP,classical,0.05,pgd,0.16066666666666668,0.2709901563404748,0.24324756784434204,0.834,0.16066666666666668,,,,cpu,0,-,51.0
MLP,classical,0.1,pgd,0.12133333333333333,0.2154761904761905,0.18982370427262898,0.834,0.12133333333333333,,,,cpu,0,-,51.0
MLP,classical,0.15,pgd,0.10133333333333333,0.18401937046004843,0.14121081526995505,0.834,0.10133333333333333,,,,cpu,0,-,51.0
MLP,classical,0.2,pgd,0.10533333333333333,0.19059107358262967,0.10843005063435171,0.834,0.10533333333333333,,,,cpu,0,-,51.0
SVM-RBF,classical,0.0,pgd,0.8693333333333333,0.8673883626522327,0.9101275814985492,0.8693333333333333,0.8693333333333333,,,,cpu,0,-,55.8
SVM-RBF,classical,0.02,pgd,0.178,0.2793687901811806,0.07942374978665302,0.8693333333333333,0.178,,,,cpu,0,-,55.8
SVM-RBF,classical,0.05,pgd,0.025333333333333333,0.031788079470198675,0.006172839506172858,0.8693333333333333,0.025333333333333333,,,,cpu,0,-,55.8
SVM-RBF,classical,0.1,pgd,0.0026666666666666666,0.0,6.75598793878365e-05,0.8693333333333333,0.0026666666666666666,,,,cpu,0,-,55.8
SVM-RBF,classical,0.15,pgd,0.002,0.0,0.0,0.8693333333333333,0.002,,,,cpu,0,-,55.8
SVM-RBF,classical,0.2,pgd,0.0013333333333333333,0.0013333333333333333,0.0006951556010695797,0.8693333333333333,0.0013333333333333333,,,,cpu,0,-,55.8
RF,classical-context,0.0,none,0.978,0.9779559118236473,0.997171374523525,0.978,0.978,,,,cpu,0,-,55.9
VQC-angle,quantum,0.0,fgsm,0.7253333333333334,0.6719745222929936,0.8271089349718383,0.7253333333333334,0.7253333333333334,8.0,2.0,,default.qubit,0,angle,408.4
VQC-angle,quantum,0.02,fgsm,0.6766666666666666,0.6196078431372549,0.5379508733003358,0.7253333333333334,0.6766666666666666,8.0,2.0,,default.qubit,0,angle,408.4
VQC-angle,quantum,0.05,fgsm,0.406,0.4126565589980224,0.3680751123627467,0.7253333333333334,0.406,8.0,2.0,,default.qubit,0,angle,408.4
VQC-angle,quantum,0.1,fgsm,0.09533333333333334,0.17306520414381474,0.0056768077601410845,0.7253333333333334,0.09533333333333334,8.0,2.0,,default.qubit,0,angle,408.4
VQC-angle,quantum,0.15,fgsm,0.002,0.003992015968063872,0.0,0.7253333333333334,0.002,8.0,2.0,,default.qubit,0,angle,408.4
VQC-angle,quantum,0.2,fgsm,0.0,0.0,0.0,0.7253333333333334,0.0,8.0,2.0,,default.qubit,0,angle,408.4
VQC-angle,quantum,0.0,pgd,0.7253333333333334,0.6719745222929936,0.8271089349718383,0.7253333333333334,0.7253333333333334,8.0,2.0,,default.qubit,0,angle,533.5
VQC-angle,quantum,0.02,pgd,0.6766666666666666,0.6196078431372549,0.5379419838425215,0.7253333333333334,0.6766666666666666,8.0,2.0,,default.qubit,0,angle,533.5
VQC-angle,quantum,0.05,pgd,0.406,0.4126565589980224,0.3677479803151846,0.7253333333333334,0.406,8.0,2.0,,default.qubit,0,angle,533.5
VQC-angle,quantum,0.1,pgd,0.09466666666666666,0.1719512195121951,0.005225223303180283,0.7253333333333334,0.09466666666666666,8.0,2.0,,default.qubit,0,angle,533.5
VQC-angle,quantum,0.15,pgd,0.002,0.003992015968063872,0.0,0.7253333333333334,0.002,8.0,2.0,,default.qubit,0,angle,533.5
VQC-angle,quantum,0.2,pgd,0.0,0.0,0.0,0.7253333333333334,0.0,8.0,2.0,,default.qubit,0,angle,533.5
VQC-amplitude,quantum,0.0,fgsm,0.724,0.670906200317965,0.8392092649485122,0.724,0.724,8.0,2.0,,default.qubit,0,amplitude,852.7
VQC-amplitude,quantum,0.02,fgsm,0.4666666666666667,0.4845360824742268,0.4470383882346248,0.724,0.4666666666666667,8.0,2.0,,default.qubit,0,amplitude,852.7
VQC-amplitude,quantum,0.05,fgsm,0.07,0.11876184459886292,0.007712493599590359,0.724,0.07,8.0,2.0,,default.qubit,0,amplitude,852.7
VQC-amplitude,quantum,0.1,fgsm,0.0026666666666666666,0.0,1.066734937702646e-05,0.724,0.0026666666666666666,8.0,2.0,,default.qubit,0,amplitude,852.7
VQC-amplitude,quantum,0.15,fgsm,0.0,0.0,0.0,0.724,0.0,8.0,2.0,,default.qubit,0,amplitude,852.7
VQC-amplitude,quantum,0.2,fgsm,0.0,0.0,0.0,0.724,0.0,8.0,2.0,,default.qubit,0,amplitude,852.7
VQC-amplitude,quantum,0.0,pgd,0.724,0.670906200317965,0.8392092649485122,0.724,0.724,8.0,2.0,,default.qubit,0,amplitude,927.2
VQC-amplitude,quantum,0.02,pgd,0.4666666666666667,0.4845360824742268,0.4470561671502532,0.724,0.4666666666666667,8.0,2.0,,default.qubit,0,amplitude,927.2
VQC-amplitude,quantum,0.05,pgd,0.07,0.11876184459886292,0.007698270467087655,0.724,0.07,8.0,2.0,,default.qubit,0,amplitude,927.2
VQC-amplitude,quantum,0.1,pgd,0.0026666666666666666,0.0,8.889457814188717e-06,0.724,0.0026666666666666666,8.0,2.0,,default.qubit,0,amplitude,927.2
VQC-amplitude,quantum,0.15,pgd,0.0,0.0,0.0,0.724,0.0,8.0,2.0,,default.qubit,0,amplitude,927.2
VQC-amplitude,quantum,0.2,pgd,0.0,0.0,0.0,0.724,0.0,8.0,2.0,,default.qubit,0,amplitude,927.2
MLP,classical,0.0,fgsm,0.8906666666666667,0.8926701570680629,0.9619947553224588,0.8906666666666667,0.8906666666666667,,,,cpu,1,-,935.0
MLP,classical,0.02,fgsm,0.5966666666666667,0.5320959010054138,0.5117205209120406,0.8906666666666667,0.5966666666666667,,,,cpu,1,-,935.0
MLP,classical,0.05,fgsm,0.454,0.4897196261682243,0.5230792479665762,0.8906666666666667,0.454,,,,cpu,1,-,935.0
MLP,classical,0.1,fgsm,0.38066666666666665,0.49810913019989195,0.5566567402995688,0.8906666666666667,0.38066666666666665,,,,cpu,1,-,935.0
MLP,classical,0.15,fgsm,0.37266666666666665,0.48941942485078677,0.5372541001822303,0.8906666666666667,0.37266666666666665,,,,cpu,1,-,935.0
MLP,classical,0.2,fgsm,0.37933333333333336,0.4970286331712588,0.49611093826392283,0.8906666666666667,0.37933333333333336,,,,cpu,1,-,935.0
SVM-RBF,classical,0.0,fgsm,0.8373333333333334,0.8291316526610645,0.8852606782523668,0.8373333333333334,0.8373333333333334,,,,cpu,1,-,935.2
SVM-RBF,classical,0.02,fgsm,0.216,0.3287671232876712,0.12062047202097873,0.8373333333333334,0.216,,,,cpu,1,-,935.2
SVM-RBF,classical,0.05,fgsm,0.036,0.05736636245110821,0.0065674029956887085,0.8373333333333334,0.036,,,,cpu,1,-,935.2
SVM-RBF,classical,0.1,fgsm,0.0026666666666666666,0.0,0.0001635628250144453,0.8373333333333334,0.0026666666666666666,,,,cpu,1,-,935.2
SVM-RBF,classical,0.15,fgsm,0.0013333333333333333,0.0,0.0,0.8373333333333334,0.0013333333333333333,,,,cpu,1,-,935.2
SVM-RBF,classical,0.2,fgsm,0.0,0.0,0.0,0.8373333333333334,0.0,,,,cpu,1,-,935.2
MLP,classical,0.0,pgd,0.8906666666666667,0.8926701570680629,0.9619947553224588,0.8906666666666667,0.8906666666666667,,,,cpu,1,-,935.4
MLP,classical,0.02,pgd,0.286,0.3890473474044495,0.422763678385706,0.8906666666666667,0.286,,,,cpu,1,-,935.4
MLP,classical,0.05,pgd,0.11733333333333333,0.19951632406287786,0.2197617671896529,0.8906666666666667,0.11733333333333333,,,,cpu,1,-,935.4
MLP,classical,0.1,pgd,0.11266666666666666,0.19674109837054918,0.17365127338992847,0.8906666666666667,0.11266666666666666,,,,cpu,1,-,935.4
MLP,classical,0.15,pgd,0.10733333333333334,0.19093655589123867,0.1628019023067692,0.8906666666666667,0.10733333333333334,,,,cpu,1,-,935.4
MLP,classical,0.2,pgd,0.10333333333333333,0.182370820668693,0.15088492821903202,0.8906666666666667,0.10333333333333333,,,,cpu,1,-,935.4
SVM-RBF,classical,0.0,pgd,0.8373333333333334,0.8291316526610645,0.8852606782523668,0.8373333333333334,0.8373333333333334,,,,cpu,1,-,940.4
SVM-RBF,classical,0.02,pgd,0.21333333333333335,0.32494279176201374,0.12022045424241079,0.8373333333333334,0.21333333333333335,,,,cpu,1,-,940.4
SVM-RBF,classical,0.05,pgd,0.036,0.05736636245110821,0.006213609493755295,0.8373333333333334,0.036,,,,cpu,1,-,940.4
SVM-RBF,classical,0.1,pgd,0.0026666666666666666,0.0,8.000355571358709e-05,0.8373333333333334,0.0026666666666666666,,,,cpu,1,-,940.4
SVM-RBF,classical,0.15,pgd,0.0006666666666666666,0.0,0.0,0.8373333333333334,0.0006666666666666666,,,,cpu,1,-,940.4
SVM-RBF,classical,0.2,pgd,0.0,0.0,0.0,0.8373333333333334,0.0,,,,cpu,1,-,940.4
RF,classical-context,0.0,none,0.974,0.973701955495617,0.9957286990532913,0.974,0.974,,,,cpu,1,-,940.6
VQC-angle,quantum,0.0,fgsm,0.718,0.6797880393641181,0.8404604649095517,0.718,0.718,8.0,2.0,,default.qubit,1,angle,1294.1
VQC-angle,quantum,0.02,fgsm,0.6173333333333333,0.6063100137174211,0.5635468243033024,0.718,0.6173333333333333,8.0,2.0,,default.qubit,1,angle,1294.1
VQC-angle,quantum,0.05,fgsm,0.31133333333333335,0.39555295494441195,0.3157953686830526,0.718,0.31133333333333335,8.0,2.0,,default.qubit,1,angle,1294.1
VQC-angle,quantum,0.1,fgsm,0.08933333333333333,0.16093366093366093,0.008931952531223638,0.718,0.08933333333333333,8.0,2.0,,default.qubit,1,angle,1294.1
VQC-angle,quantum,0.15,fgsm,0.01,0.017207147584381206,0.0006382505889150847,0.718,0.01,8.0,2.0,,default.qubit,1,angle,1294.1
VQC-angle,quantum,0.2,fgsm,0.002,0.002664890073284477,6.578070136450763e-05,0.718,0.002,8.0,2.0,,default.qubit,1,angle,1294.1
VQC-angle,quantum,0.0,pgd,0.718,0.6797880393641181,0.8404604649095517,0.718,0.718,8.0,2.0,,default.qubit,1,angle,1421.9
VQC-angle,quantum,0.02,pgd,0.6173333333333333,0.6063100137174211,0.5630348015467355,0.718,0.6173333333333333,8.0,2.0,,default.qubit,1,angle,1421.9
VQC-angle,quantum,0.05,pgd,0.2786666666666667,0.3845278725824801,0.31300946708742605,0.718,0.2786666666666667,8.0,2.0,,default.qubit,1,angle,1421.9
VQC-angle,quantum,0.1,pgd,0.08866666666666667,0.16083486801718846,0.005383350371127633,0.718,0.08866666666666667,8.0,2.0,,default.qubit,1,angle,1421.9
