attack,model,epsilon,seed,acc
fgsm,VQC-angle,0.0,0,0.7250000238418579
fgsm,VQC-angle,0.02,0,0.6949999928474426
fgsm,VQC-angle,0.05,0,0.625
fgsm,VQC-angle,0.1,0,0.20250000059604645
fgsm,VQC-angle,0.15,0,0.18000000715255737
fgsm,VQC-angle,0.2,0,0.16249999403953552
pgd,VQC-angle,0.0,0,0.7250000238418579
pgd,VQC-angle,0.02,0,0.6949999928474426
pgd,VQC-angle,0.05,0,0.6225000023841858
pgd,VQC-angle,0.1,0,0.19249999523162842
pgd,VQC-angle,0.15,0,0.1599999964237213
pgd,VQC-angle,0.2,0,0.10750000178813934
fgsm,VQC-amplitude-dense,0.0,0,0.7549999952316284
fgsm,VQC-amplitude-dense,0.02,0,0.16500000655651093
fgsm,VQC-amplitude-dense,0.05,0,0.23000000417232513
fgsm,VQC-amplitude-dense,0.1,0,0.375
fgsm,VQC-amplitude-dense,0.15,0,0.4749999940395355
fgsm,VQC-amplitude-dense,0.2,0,0.4925000071525574
pgd,VQC-amplitude-dense,0.0,0,0.7549999952316284
pgd,VQC-amplitude-dense,0.02,0,0.11249999701976776
pgd,VQC-amplitude-dense,0.05,0,0.02250000089406967
pgd,VQC-amplitude-dense,0.1,0,0.007499999832361937
pgd,VQC-amplitude-dense,0.15,0,0.0
pgd,VQC-amplitude-dense,0.2,0,0.0
fgsm,VQC-amplitude-degenerate,0.0,0,0.7225000262260437
fgsm,VQC-amplitude-degenerate,0.02,0,0.6825000047683716
fgsm,VQC-amplitude-degenerate,0.05,0,0.5824999809265137
fgsm,VQC-amplitude-degenerate,0.1,0,0.1850000023841858
fgsm,VQC-amplitude-degenerate,0.15,0,0.1550000011920929
fgsm,VQC-amplitude-degenerate,0.2,0,0.07500000298023224
pgd,VQC-amplitude-degenerate,0.0,0,0.7225000262260437
pgd,VQC-amplitude-degenerate,0.02,0,0.6825000047683716
pgd,VQC-amplitude-degenerate,0.05,0,0.5824999809265137
pgd,VQC-amplitude-degenerate,0.1,0,0.18000000715255737
pgd,VQC-amplitude-degenerate,0.15,0,0.14749999344348907
