model,type,encoding,epsilon,attack,accuracy,f1,roc_auc,clean_acc,adv_acc,qubits,depth,shots,backend,seed,wall_clock_s
MLP,classical,-,0.0,fgsm,0.8916666666666667,0.8943089430894309,0.9581930415263749,0.8916666666666667,0.8916666666666667,,,,cpu,0,
MLP,classical,-,0.02,fgsm,0.48333333333333334,0.5303030303030303,0.5962401795735129,0.8916666666666667,0.48333333333333334,,,,cpu,0,
MLP,classical,-,0.05,fgsm,0.1,0.16923076923076924,0.12850729517396184,0.8916666666666667,0.1,,,,cpu,0,
MLP,classical,-,0.1,fgsm,0.08333333333333333,0.15384615384615385,0.10325476992143659,0.8916666666666667,0.08333333333333333,,,,cpu,0,
MLP,classical,-,0.15,fgsm,0.08333333333333333,0.15384615384615385,0.0819304152637486,0.8916666666666667,0.08333333333333333,,,,cpu,0,
MLP,classical,-,0.2,fgsm,0.08333333333333333,0.15384615384615385,0.07856341189674522,0.8916666666666667,0.08333333333333333,,,,cpu,0,
MLP,classical,-,0.0,pgd,0.8916666666666667,0.8943089430894309,0.9581930415263749,0.8916666666666667,0.8916666666666667,,,,cpu,0,
MLP,classical,-,0.02,pgd,0.4083333333333333,0.4892086330935252,0.5030864197530864,0.8916666666666667,0.4083333333333333,,,,cpu,0,
MLP,classical,-,0.05,pgd,0.11666666666666667,0.208955223880597,0.2003367003367003,0.8916666666666667,0.11666666666666667,,,,cpu,0,
MLP,classical,-,0.1,pgd,0.06666666666666667,0.125,0.07856341189674523,0.8916666666666667,0.06666666666666667,,,,cpu,0,
MLP,classical,-,0.15,pgd,0.15,0.2608695652173913,0.18939393939393936,0.8916666666666667,0.15,,,,cpu,0,
MLP,classical,-,0.2,pgd,0.125,0.2222222222222222,0.1494107744107744,0.8916666666666667,0.125,,,,cpu,0,
SVM-RBF,classical,-,0.0,fgsm,0.8833333333333333,0.8888888888888888,0.920314253647587,0.8833333333333333,0.8833333333333333,,,,cpu,0,
SVM-RBF,classical,-,0.02,fgsm,0.23333333333333334,0.3698630136986301,0.09455667789001121,0.8833333333333333,0.23333333333333334,,,,cpu,0,
SVM-RBF,classical,-,0.05,fgsm,0.041666666666666664,0.06504065040650407,0.00533108866442199,0.8833333333333333,0.041666666666666664,,,,cpu,0,
SVM-RBF,classical,-,0.1,fgsm,0.0,0.0,0.0,0.8833333333333333,0.0,,,,cpu,0,
SVM-RBF,classical,-,0.15,fgsm,0.0,0.0,0.0,0.8833333333333333,0.0,,,,cpu,0,
SVM-RBF,classical,-,0.2,fgsm,0.0,0.0,0.0,0.8833333333333333,0.0,,,,cpu,0,
SVM-RBF,classical,-,0.0,pgd,0.8833333333333333,0.8888888888888888,0.920314253647587,0.8833333333333333,0.8833333333333333,,,,cpu,0,
